Title,Year,Director,Origin/Ethnicity,Cast,Genre,Color,Duration,Actor_2,Gross,Genres,Actor_1,Actor_3,Plot_keywords,Language,Country,Budget,Aspect_ratio
The Saint,1997,Phillip Noyce,American,"Val Kilmer, Elisabeth Shue",thriller,Color,116.0,Michael Byrne,61355436.0,Action|Adventure|Romance|Sci-Fi|Thriller,Alun Armstrong,Velibor Topic,cold fusion|disguise|energy|fusion|the saint,English,USA,68000000.0,2.35
Scream 2,1997,Wes Craven,American,"David Arquette, Neve Campbell, Courteney Cox, Omar Epps, Sarah Michelle Gellar, Laurie Metcalf, Jerry O'Connell, Timothy Olyphant, Jada Pinkett",horror,Color,120.0,Jada Pinkett Smith,101334374.0,Horror|Mystery,Omar Epps,Kevin Williamson,college|ghostface|killer|killing spree|murder,English,USA,24000000.0,2.35
Selena,1997,Gregory Nava,American,"Jennifer Lopez, Edward James Olmos",biography,Color,127.0,Constance Marie,35422828.0,Biography|Drama|Music,Jon Seda,Jacob Vargas,latin music|marriage|on tour|singer|tejano,English,USA,20000000.0,2.35
Seven Years in Tibet,1997,Jean-Jacques Annaud,American,"Brad Pitt, David Thewlis, Victor Wong, Lhakpa Tsamchoe",drama,Color,136.0,Mako,37901509.0,Adventure|Biography|Drama|History|War,Brad Pitt,Victor Wong,austria|dalai lama|himalaya|mountain|tibet,English,USA,70000000.0,2.35
Shadow Conspiracy,1997,George P. Cosmatos,American,"Charlie Sheen, Donald Sutherland, Linda Hamilton, Sam Waterston, Stephen Lang, Ben Gazzara",drama,Color,103.0,Ben Gazzara,2154540.0,Action|Thriller,Sam Waterston,Nicholas Turturro,american president|assassin|conspiracy|president|white house,English,USA,45000000.0,2.35
A Simple Wish,1997,Michael Ritchie,American,"Martin Short, Mara Wilson, Kathleen Turner",fantasy,Color,89.0,Francis Capra,8119205.0,Comedy|Family|Fantasy,Mara Wilson,Kathleen Turner,8 year old|convention|magic|magic wand|male fairy godmother,English,USA,28000000.0,1.85
The Spanish Prisoner,1997,David Mamet,American,"Campbell Scott, Steve Martin, Rebecca Pidgeon",drama,Color,110.0,Felicity Huffman,10200000.0,Drama|Mystery|Thriller,Ben Gazzara,Campbell Scott,brother sister relationship|extradition|fbi|japanese tourist|secret,English,USA,10000000.0,1.85
Speed 2: Cruise Control,1997,Jan de Bont,American,"Sandra Bullock, Jason Patric, Willem Dafoe",action,Color,121.0,Temuera Morrison,48068396.0,Action|Crime|Romance|Thriller,Jason Patric,Lois Chiles,collision course|computer|cruise|diamonds|ship run aground,English,USA,160000000.0,2.35
Starship Troopers,1997,Paul Verhoeven,American,"Casper Van Dien, Dina Meyer, Denise Richards, Jake Busey, Neil Patrick Harris, Patrick Muldoon",science fiction,Color,129.0,Patrick Muldoon,54700065.0,Action|Sci-Fi|War,Jake Busey,Seth Gilliam,alien|federation|future|military|planet,English,USA,105000000.0,1.85
Steel,1997,Kenneth Johnson,American,"Shaquille O'Neal, Annabeth Gish, Judd Nelson, Richard Roundtree, Ray J",action,Color,97.0,Annabeth Gish,1686429.0,Action|Crime|Sci-Fi,Charles Napier,Hill Harper,fight|gang|junkyard|military|soldier,English,USA,16000000.0,1.85
