Title,Year,Director,Origin/Ethnicity,Cast,Genre,Color,Duration,Actor_2,Gross,Genres,Actor_1,Actor_3,Plot_keywords,Language,Country,Budget,Aspect_ratio
Running with Scissors,2006,Ryan Murphy,American,"Annette Bening, Brian Cox, Joseph Fiennes",comedy-drama,Color,122.0,Joseph Cross,6754898.0,Comedy|Drama,Jill Clayburgh,Dagmara Dominczyk,alcoholic|fame|therapist|writer|writing,English,USA,12000000.0,2.35
Saw III,2006,Darren Lynn Bousman,American,"Tobin Bell, Shawnee Smith, Angus Macfadyen, Bahar Soomekh",horror,Color,121.0,Shawnee Smith,80150343.0,Horror|Mystery,Costas Mandylor,Leigh Whannell,brutality|female full frontal nudity|female nudity|torture|trap,English,USA,10000000.0,1.85
A Scanner Darkly,2006,Richard Linklater,American,"Keanu Reeves, Robert Downey, Jr., Woody Harrelson, Winona Ryder",animation,Color,100.0,Keanu Reeves,5480996.0,Animation|Drama|Mystery|Sci-Fi|Thriller,Robert Downey Jr.,Rory Cochrane,detective|drugs|substance d|undercover|undercover cop,English,USA,8700000.0,1.85
Scary Movie 4,2006,David Zucker,American,"Anna Faris, Regina Hall, Craig Bierko, Bill Pullman","comedy, parody",Color,89.0,Carmen Electra,90703745.0,Comedy,Beau Mirchoff,Regina Hall,female nudity|male nudity|parody|reference to myspace|sequel,English,USA,45000000.0,1.85
School for Scoundrels,2006,Todd Phillips,American,"Billy Bob Thornton, Jon Heder",comedy,Color,108.0,Sarah Silverman,17803796.0,Comedy,Jon Heder,Jacinda Barrett,paintball|paintball gun|pepper spray|tennis|what happened to epilogue,English,USA,20000000.0,2.35
Scoop,2006,Woody Allen,American,"Scarlett Johansson, Hugh Jackman, Woody Allen, Ian McShane",romantic comedy,Color,96.0,Kevin McNally,10515579.0,Comedy|Crime|Mystery,Scarlett Johansson,Geoff Bell,english garden|fake drowning|fake parent|musical instrument|poker the card game,English,UK,4000000.0,1.85
The Sentinel,2006,Clark Johnson,American,"Michael Douglas, Kiefer Sutherland, Eva Longoria, Kim Basinger",crime drama,Color,107.0,David Rasche,36279230.0,Action|Crime|Thriller,Blair Brown,Martin Donovan,first lady|framed|investigation|president|secret service,English,USA,60000000.0,2.35
The Shaggy Dog,2006,Brian Robbins,American,"Tim Allen, Kristin Davis, Spencer Breslin, Danny Glover, Robert Downey, Jr.",comedy,Color,98.0,Joel David Moore,61112916.0,Comedy|Family|Fantasy,Robert Downey Jr.,Kristin Davis,animal as human|dog movie|elevator|human becoming an animal|sheepdog,English,USA,50000000.0,2.35
She's the Man,2006,Andy Fickman,American,"Amanda Bynes, Channing Tatum",romantic comedy,Color,105.0,Alexandra Breckenridge,33687630.0,Comedy|Romance,Channing Tatum,Laura Ramsey,disguise|roommate|school|soccer|twin,English,USA,20000000.0,1.85
Sherrybaby,2006,Laurie Collyer,American,"Maggie Gyllenhaal, Brad William Henke, Sam Bottoms",drama,Color,96.0,Kate Burton,198407.0,Drama,Brad William Henke,Michelle Hurst,ex convict|halfway house|nipples visible through clothing|orgasm|parole officer,English,USA,2000000.0,1.85
Shortbus,2006,John Cameron Mitchell,American,Sook-Yin Lee,comedy-drama,Color,101.0,Peter Stickles,1984378.0,Comedy|Drama|Romance,Sook-Yin Lee,Raphael Barker,controversy|ejaculation|male frontal nudity|oral sex|unsimulated sex,English,USA,2000000.0,1.78
Silent Hill,2006,Christophe Gans,American,"Radha Mitchell, Sean Bean, Laurie Holden, Jodelle Ferland",horror,Color,132.0,Deborah Kara Unger,46982632.0,Adventure|Horror|Mystery,Radha Mitchell,Alice Krige,gothic|police|police officer|silent hill|sleepwalking,English,Canada,50000000.0,2.35
Slither,2006,James Gunn,American,"Nathan Fillion, Elizabeth Banks, Michael Rooker",horror comedy,Color,95.0,Gregg Henry,7774730.0,Comedy|Horror|Sci-Fi,Dustin Milligan,Tania Saulnier,alien|b movie|sex|slug|small town,English,Canada,15500000.0,1.85
Snakes on a Plane,2006,David R. Ellis,American,"Samuel L. Jackson, Julianna Margulies, Taylor Kitsch, Kenan Thompson",thriller,Color,105.0,Kenan Thompson,34014398.0,Action|Adventure|Crime|Drama|Thriller,Lin Shaye,Rachel Blanchard,baby rattle|famous line|murder|passenger|snake,English,Germany,33000000.0,2.35
Stay Alive,2006,William Brent Bell,American,"Jon Foster, Samaire Armstrong, Frankie Muniz, Sophia Bush, Jimmie Simpson",horror,Color,75.0,Frankie Muniz,23078294.0,Horror|Thriller,Adam Goldberg,Samaire Armstrong,countess|game reality crossover|ghost|group of friends|tower,English,USA,9000000.0,2.35
Step Up,2006,Anne Fletcher,American,"Channing Tatum, Jenna Dewan",dance,Color,104.0,Alyson Stoner,65269010.0,Crime|Drama|Music|Romance,Channing Tatum,Josh Henderson,dance|dancer|school|showcase|student,English,USA,12000000.0,2.35
Stranger Than Fiction,2006,Marc Forster,American,"Will Ferrell, Emma Thompson",fantasy,Color,113.0,Christian Stolte,40137776.0,Comedy|Drama|Fantasy|Romance,Will Ferrell,Danny Rhodes,author|fate|novelist|professor|writer,English,USA,38000000.0,1.85
Superman Returns,2006,Bryan Singer,American,"Brandon Routh, Kate Bosworth, Kevin Spacey, Frank Langella, James Marsden, Eva Marie Saint",superhero,Color,169.0,Marlon Brando,200069408.0,Action|Adventure|Sci-Fi,Kevin Spacey,Frank Langella,crystal|epic|lex luthor|lois lane|return to earth,English,USA,209000000.0,2.35
Talladega Nights: The Ballad of Ricky Bobby,2006,Adam McKay,American,"Will Ferrell, John C. Reilly, Sacha Baron Cohen",comedy,Color,122.0,Leslie Bibb,148213377.0,Action|Comedy|Sport,Will Ferrell,Gary Cole,car racing|french|friend|nascar|racing,English,USA,73000000.0,2.35
The Texas Chainsaw Massacre: The Beginning,2006,Jonathan Liebesman,American,"Jordana Brewster, Taylor Handley",horror,Color,83.0,Jordana Brewster,39511038.0,Horror,Matt Bomer,Lew Temple,cannibal|car accident|leatherface|psychopath|slaughterhouse,English,USA,16000000.0,1.85
Ultraviolet,2006,Kurt Wimmer,American,"Milla Jovovich, Cameron Bright, Nick Chinlund, William Fichtner",science fiction,Color,94.0,Cameron Bright,18500966.0,Action|Horror|Sci-Fi|Thriller,Milla Jovovich,Nick Chinlund,boy|disease|hemophagia|speed|vampire,English,USA,30000000.0,1.85
Unaccompanied Minors,2006,Paul Feig,American,"Lewis Black, Wilmer Valderrama, Tyler James Williams",comedy,Color,90.0,Rob Riggle,16647384.0,Adventure|Comedy|Family|Romance,Tyler James Williams,B.J. Novak,airport|black comedy|blizzard|christmas|pennsylvania,English,USA,26000000.0,2.35
Underworld: Evolution,2006,Len Wiseman,American,"Kate Beckinsale, Scott Speedman, Tony Curran",horror,Color,102.0,Tony Curran,62318875.0,Action|Adventure|Fantasy|Sci-Fi|Thriller,Sophia Myles,Derek Jacobi,death|feud|forbidden love|vampire|werewolf,English,USA,50000000.0,2.35
United 93,2006,Paul Greengrass,American,see Cast,drama,Color,111.0,David Alan Basche,31471430.0,Drama|History|Thriller,Christian Clemenson,Susan Blommaert,flight|passenger|plane|september 11 2001|terrorist,English,USA,15000000.0,2.35
We Are Marshall,2006,McG,American,"Matthew McConaughey, Matthew Fox, Anthony Mackie",drama,Color,131.0,Kimberly Williams-Paisley,43532294.0,Drama|Sport,Matthew McConaughey,Brian Geraghty,coach|football|football team|marshall university|university,English,USA,65000000.0,2.35
When a Stranger Calls,2006,Simon West,American,Camilla Belle,horror,Color,87.0,Tessa Thompson,47860214.0,Horror|Thriller,Madeline Carroll,Brian Geraghty,babysitting|cell phone|high school|nightmare|teenager,English,USA,15000000.0,2.35
World Trade Center,2006,Oliver Stone,American,"Nicolas Cage, Michael Peña, Maggie Gyllenhaal, Maria Bello",drama,Color,129.0,Jay Hernandez,70236496.0,Drama|History|Thriller,Nicolas Cage,Armando Riesco,based on true story|police|rescue|rubble|trapped,English,USA,63000000.0,1.85
1408,2007,Mikael Håfström,American,"John Cusack, Samuel L. Jackson",horror,Color,114.0,Kim Thomson,71975611.0,Fantasy|Horror,Drew Powell,Alexandra Silber,book|debunking|evil|hotel|paranormal phenomena,English,USA,25000000.0,2.35
3:10 to Yuma,2007,James Mangold,American,"Russell Crowe, Christian Bale",western,Color,122.0,Logan Lerman,53574088.0,Adventure|Crime|Drama|Western,Christian Bale,Gretchen Mol,outlaw|rancher|small western town|stagecoach|train,English,USA,55000000.0,2.35
30 Days of Night,2007,David Slade,American,"Josh Hartnett, Ben Foster, Melissa George",horror,Color,113.0,Mark Rendall,39568996.0,Horror,Danny Huston,Megan Franich,alaska|small town|snow|vampire|winter,English,USA,32000000.0,2.35
Alvin and the Chipmunks,2007,Tim Hill,American,"Jason Lee, Ross Bagdasarian Jr., Janice Karman, David Cross, Justin Long, Matthew Gray Gubler, Jesse McCartney","family, musical",Color,92.0,Beth Riesgraf,217326336.0,Animation|Comedy|Family|Fantasy|Music,Jesse McCartney,Matthew Gray Gubler,based on cartoon|chipmunk|concert|fart joke|talking animal,English,USA,60000000.0,1.85
American Gangster,2007,Ridley Scott,American,"Denzel Washington, Russell Crowe",crime,Color,176.0,Ruby Dee,130127620.0,Biography|Crime|Drama,Denzel Washington,RZA,death|heroin|popcorn|smuggling|vietnam,English,USA,100000000.0,1.85
The Assassination of Jesse James by the Coward Robert Ford,2007,Andrew Dominik,American,"Brad Pitt, Casey Affleck, Sam Rockwell, Sam Shepard, Mary-Louise Parker, Zooey Deschanel, Paul Schneider, Jeremy Renner","biography, western",Color,160.0,Jeremy Renner,3904982.0,Biography|Crime|Drama|History|Western,Brad Pitt,Sam Shepard,long title|outlaw|robbery|train|train robbery,English,USA,30000000.0,2.35
August Rush,2007,Kirsten Sheridan,American,"Freddie Highmore, Jonathan Rhys Meyers, Keri Russell, Terrence Howard, Robin Williams","family, musical",Color,114.0,Aaron Staton,31655091.0,Drama|Music,Robin Williams,Marian Seldes,baby|cellist|genius|prodigy|rhapsody,English,USA,30000000.0,2.35
Awake,2007,Joby Harold,American,"Hayden Christensen, Jessica Alba, Lena Olin, Arliss Howard, Terrence Howard",thriller,Color,84.0,Fisher Stevens,14373825.0,Crime|Mystery|Thriller,Hayden Christensen,Denis O'Hare,anesthetic|anesthetic awareness|heart|heart surgery|surgery,English,USA,8600000.0,2.35
Beowulf,2007,Robert Zemeckis,American,"Ray Winstone, Anthony Hopkins, John Malkovich, Robin Wright Penn, Angelina Jolie",fantasy,Color,115.0,Anthony Hopkins,82161969.0,Action|Adventure|Animation|Fantasy,Robin Wright,Sebastian Roché,creature|demon|king|reward|warrior,English,USA,150000000.0,2.35
Blonde Ambition,2007,Scott Marshall,American,"Jessica Simpson, Luke Wilson",romantic comedy,Color,93.0,Drew Waters,5561.0,Comedy|Romance,Drew Fuller,Larry Miller,boss|business|career|confidence|female protagonist,English,USA,10000000.0,1.85
The Bourne Ultimatum,2007,Paul Greengrass,American,"Matt Damon, Julia Stiles, David Strathairn, Scott Glenn, Joan Allen",action,Color,115.0,Edgar Ramírez,227137090.0,Action|Mystery|Thriller,Matt Damon,Albert Finney,action hero|cia|dark past|flashback|memory,English,USA,110000000.0,2.35
Brooklyn Rules,2007,Michael Corrente,American,"Alec Baldwin, Scott Caan, Freddie Prinze Jr.",crime drama,Color,99.0,Tony Devon,398420.0,Crime|Drama,Jerry Ferrara,Alexa Havins,1980s|friend|friendship|loyalty|mafia,English,USA,8000000.0,2.35
The Brothers Solomon,2007,Bob Odenkirk,American,"Will Arnett, Will Forte, Chi McBride, Kristen Wiig, Malin Åkerman",comedy,Color,93.0,Lee Majors,900926.0,Comedy,Jenna Fischer,Will Forte,antarctica|coma|neighbor|phd|pregnancy,English,USA,10000000.0,1.85
The Bucket List,2007,Rob Reiner,American,"Jack Nicholson, Morgan Freeman",dramedy,Color,97.0,Noel Gugliemi,93452056.0,Adventure|Comedy|Drama,Morgan Freeman,Sean Hayes,billionaire|friend|hospital|list|mechanic,English,USA,45000000.0,1.85
Charlie Wilson's War,2007,Mike Nichols,American,"Tom Hanks, Julia Roberts, Philip Seymour Hoffman","biography, drama",Color,102.0,Tom Hanks,66636385.0,Biography|Comedy|Drama|History,Philip Seymour Hoffman,Jud Tylor,afghanistan|arms dealer|based on true story|cia|texas,English,USA,75000000.0,1.85
Code Name: The Cleaner,2007,Les Mayfield,American,"Cedric the Entertainer, Lucy Liu, Nicollette Sheridan",action comedy,Color,91.0,Will Patton,8104069.0,Action|Comedy|Crime,Callum Rennie,Cedric the Entertainer,comic violence|hand to hand combat|kung fu|talking to self in mirror|violence,English,USA,20000000.0,1.85
Control,2007,Anton Corbijn,American,"Sam Riley, Samantha Morton, Alexandra Maria Lara","biography, drama", Black and White,122.0,Samantha Morton,871577.0,Biography|Drama|Music,Sam Riley,Alexandra Maria Lara,band|employment agency|singer|stage fright|suicide,English,UK,4500000.0,2.35
Death Sentence,2007,James Wan,American,"Kevin Bacon, Garrett Hedlund, Kelly Preston, John Goodman","action, crime",Color,111.0,Kelly Preston,9525276.0,Action|Crime|Thriller,Aisha Tyler,Edi Gathegi,blood|death|gang|murder|revenge,English,USA,20000000.0,2.35
Enchanted,2007,Kevin Lima,American,"Amy Adams, Patrick Dempsey, James Marsden, Susan Sarandon",fantasy,Color,107.0,Teala Dunn,127706877.0,Animation|Comedy|Family|Fantasy|Musical|Romance,Jeff Bennett,Fred Tatasciore,fairy tale|lawyer|love|new york|prince,English,USA,85000000.0,2.35
Evan Almighty,2007,Tom Shadyac,American,"Steve Carell, Morgan Freeman, Lauren Graham, John Goodman, Wanda Sykes",comedy,Color,96.0,Morgan Freeman,100289690.0,Comedy|Family|Fantasy,Jimmy Bennett,Steve Carell,ark|change|congressman|depiction of god|flood,English,USA,175000000.0,2.35
Freedom Writers,2007,Richard LaGravenese,American,"Hilary Swank, Scott Glenn, Imelda Staunton, Patrick Dempsey, Mario",drama,Color,123.0,Scott Glenn,36581633.0,Biography|Crime|Drama,Hunter Parrish,Imelda Staunton,gang violence|high school|journal|marriage|teacher,English,Germany,21000000.0,1.85
Georgia Rule,2007,Garry Marshall,American,"Lindsay Lohan, Jane Fonda, Felicity Huffman, Dermot Mulroney, Garrett Hedlund",comedy-drama,Color,113.0,Zachary Gordon,18882880.0,Comedy|Drama,Hector Elizondo,Jane Fonda,alcoholic|rules|secret|summer|teenager,English,USA,20000000.0,2.35
Ghost Rider,2007,Mark Steven Johnson,American,"Nicolas Cage, Eva Mendes, Wes Bentley, Sam Elliott, Peter Fonda",superhero,Color,123.0,Matt Long,115802596.0,Action|Fantasy|Thriller,Nicolas Cage,Peter Fonda,blackheart|devil|father|ghost|mephistopheles,English,USA,110000000.0,2.35
The Golden Compass,2007,Chris Weitz,American,"Dakota Blue Richards, Nicole Kidman, Daniel Craig, Eva Green, Ian McKellen","family, fantasy",Color,113.0,Eva Green,70083519.0,Adventure|Family|Fantasy,Christopher Lee,Kristin Scott Thomas,children|epic|friend|girl|quest,English,USA,180000000.0,2.35
Good Luck Chuck,2007,Mark Helfrich,American,"Dane Cook, Jessica Alba",romantic comedy,Color,101.0,Dan Fogler,35000629.0,Comedy|Romance,Dane Cook,Chelan Simmons,breasts|leg spreading|mini skirt|sex|sex in bed,English,USA,25000000.0,1.85
The Good Night,2007,Jake Paltrow,American,"Penélope Cruz, Gwyneth Paltrow, Danny DeVito",romantic comedy,Color,93.0,Gael Le Cornec,20380.0,Comedy|Drama|Fantasy|Music|Romance,Stephen Graham,Keith Allen,commercial|dream|dreaming|girl|new york city,English,USA,15000000.0,1.85
Gracie,2007,Davis Guggenheim,American,"Elisabeth Shue, Carly Schroeder, Dermot Mulroney",drama,Color,95.0,John Doman,2955039.0,Biography|Drama|Sport,Emma Bell,Carly Schroeder,boy|girl|soccer|south orange new jersey|teenager,English,USA,9000000.0,2.35
The Great Debaters,2007,Denzel Washington,American,"Denzel Washington, Forest Whitaker, Nate Parker, Jurnee Smollet, Denzel Whitaker, John Heard, Kimberly Elise","bio-pic, drama",Color,126.0,Jurnee Smollett-Bell,30226144.0,Biography|Drama,Denzel Washington,John Heard,college|debate|student|texas|wiley college,English,USA,15000000.0,2.35
Harry Potter and the Order of the Phoenix,2007,David Yates,American,"Daniel Radcliffe, Rupert Grint, Emma Watson, Michael Gambon, Imelda Staunton, Helena Bonham Carter, Gary Oldman, Ralph Fiennes","family, fantasy",Color,138.0,Daniel Radcliffe,292000866.0,Adventure|Family|Fantasy|Mystery,Robert Pattinson,Fiona Shaw,battle|magic|school|teacher|wizard,English,UK,150000000.0,2.35
Hitman,2007,Xavier Gens,American,"Timothy Olyphant, Dougray Scott, Olga Kurylenko, Robert Knepper",action,Color,94.0,Dougray Scott,39687528.0,Action|Crime|Drama|Thriller,Henry Ian Cusick,Ulrich Thomsen,hitman|impersonation|see through dress|topless female nudity|woman on top,English,France,24000000.0,2.35
Hostel: Part II,2007,Eli Roth,American,"Lauren German, Roger Bart, Bijou Phillips, Heather Matarazzo, Richard Burgi, Jay Hernandez",horror,Color,94.0,Lauren German,17544812.0,Horror,Jay Hernandez,Stanislav Ianevski,american|hostel|slovakia|torture|train,English,USA,10000000.0,2.35
The Hunting Party,2007,Richard Shepard,American,"Terrence Howard, Richard Gere",adventure,Color,101.0,Zan Marolt,876671.0,Adventure|Comedy|Drama|Romance|Thriller|War,James Brolin,Ljubomir Kerekes,bosnia|cia|fox|hunt|war criminal,English,USA,25000000.0,2.35
I Am Legend,2007,Francis Lawrence,American,Will Smith,science fiction,Color,104.0,Alice Braga,256386216.0,Drama|Horror|Sci-Fi,Will Smith,Willow Smith,new york city|pandemic|post apocalypse|survivalist|virus,English,USA,150000000.0,2.35
In the Land of Women,2007,Jon Kasdan,American,"Adam Brody, Kristen Stewart, Meg Ryan, Olympia Dukakis, Makenzie Vega",comedy-drama,Color,97.0,Elena Anaya,11043445.0,Comedy|Drama|Romance,Kristen Stewart,Dustin Milligan,actress|love|michigan|neighbor|writer,English,USA,10000000.0,2.35
Into the Wild,2007,Sean Penn,American,"Emile Hirsch, Marcia Gay Harden, William Hurt, Jena Malone, Brian Dieker, Vince Vaughn, Zach Galifianakis, Kristen Stewart, Hal Holbrook","adventure, drama",Color,148.0,William Hurt,18352454.0,Adventure|Biography|Drama,Kristen Stewart,Hal Holbrook,alaska|based on true story|male nudity|self discovery|wilderness,English,USA,15000000.0,2.35
The Invasion,2007,Oliver Hirschbiegel,American,"Nicole Kidman, Daniel Craig",science fiction,Color,99.0,Veronica Cartwright,15071514.0,Sci-Fi|Thriller,Roger Rees,Jeremy Northam,alien|epidemic|psychiatrist|space shuttle|virus,English,USA,80000000.0,1.85
Juno,2007,Jason Reitman,American,"Ellen Page, Michael Cera, Jennifer Garner, Jason Bateman, Allison Janney, J. K. Simmons, Olivia Thirlby",comedy-drama,Color,96.0,Jennifer Garner,143492840.0,Comedy|Drama|Romance,J.K. Simmons,Rainn Wilson,adoption|baby|friend|pregnancy|school,English,USA,7500000.0,1.85
The Kingdom,2007,Peter Berg,American,"Jamie Foxx, Chris Cooper, Jennifer Garner, Jason Bateman, Jeremy Piven, Danny Huston, Richard Jenkins",action,Color,110.0,Frances Fisher,47456450.0,Action|Drama|Thriller,Jennifer Garner,Tim McGraw,al qaeda|bomb making|fbi|saudi arabia|stabbed in the crotch,English,USA,70000000.0,2.35
The Kite Runner,2007,Marc Forster,American,"Khalid Abdalla, Homayoun Ershadi, Shaun Toub",drama,Color,128.0,Shaun Toub,15797907.0,Drama,Mustafa Haidari,Khalid Abdalla,afghanistan|based on novel|boy|friend|kite,Dari,USA,20000000.0,2.35
Knocked Up,2007,Judd Apatow,American,"Seth Rogen, Katherine Heigl, Paul Rudd, Leslie Mann",comedy,Color,133.0,Martin Starr,148734225.0,Comedy|Romance,Harold Ramis,Charlyne Yi,one night stand|pregnancy|slacker|unplanned pregnancy|website,English,USA,30000000.0,1.85
Lars and the Real Girl,2007,Craig Gillespie,American,"Ryan Gosling, Emily Mortimer, Paul Schneider",comedy-drama,Color,106.0,Kelli Garner,5949693.0,Comedy|Drama|Romance,Ryan Gosling,Paul Schneider,in love with an inanimate object|internet|introvert|psychologist|sex doll,English,USA,12000000.0,1.85
License to Wed,2007,Ken Kwapis,American,"Robin Williams, Mandy Moore, John Krasinski",romantic comedy,Color,91.0,Christine Taylor,43792641.0,Comedy|Romance,Robin Williams,Mindy Kaling,box office flop|church|kissing|usa|wedding,English,USA,35000000.0,2.35
The Life Before Her Eyes,2007,Vadim Perelman,American,"Uma Thurman, Evan Rachel Wood",drama,Color,90.0,Lynn Cohen,303439.0,Drama|Mystery|Thriller,Eva Amurri Martino,Brett Cullen,best friend|nonlinear timeline|school shooting|self sacrifice|shooting,English,USA,8000000.0,2.35
Lions for Lambs,2007,Robert Redford,American,"Robert Redford, Meryl Streep, Tom Cruise",drama,Color,92.0,Tom Cruise,14998070.0,Drama|Thriller|War,Meryl Streep,Andrew Garfield,afghanistan|professor|reporter|student|university,English,USA,35000000.0,2.35
Live Free or Die Hard,2007,Len Wiseman,American,"Bruce Willis, Justin Long",action,Color,129.0,Jonathan Sadowski,134520804.0,Action|Adventure|Thriller,Bruce Willis,Cyril Raffaelli,fbi|hacker|independence day|police|terrorist,English,USA,110000000.0,2.35
Love in the Time of Cholera,2007,Mike Newell,American,"Giovanna Mezzogiorno, John Leguizamo",drama,Color,139.0,Giovanna Mezzogiorno,4584886.0,Drama|Romance,Marcela Mar,Unax Ugalde,19th century|colombia|love|marriage|widow,English,USA,45000000.0,2.35
Lucky You,2007,Curtis Hanson,American,"Eric Bana, Drew Barrymore, Robert Duvall",drama,Color,124.0,Robert Duvall,5755286.0,Drama|Romance|Sport,Robert Downey Jr.,Kelvin Han Yee,losing|poker|poker player|reference to frederic chopin|reference to johannes brahms,English,USA,55000000.0,2.35
Married Life,2007,Ira Sachs,American,"Chris Cooper, Patricia Clarkson, Pierce Brosnan, Rachel McAdams",crime drama,Color,91.0,Erin Boyes,1506998.0,Crime|Drama|Romance,David Richmond-Peck,Timothy Webber,bachelor|best friend|divorce|poison|widow,English,USA,12000000.0,1.85
Martian Child,2007,Menno Meyjes,American,"John Cusack, Bobby Coleman, Amanda Peet, Joan Cusack","comedy-drama, family",Color,106.0,Richard Schiff,7486906.0,Comedy|Drama|Family,Oliver Platt,Sophie Okonedo,adopted son|adoption|boy|mars the planet|widower,English,USA,27000000.0,1.85
Michael Clayton,2007,Tony Gilroy,American,"George Clooney, Tom Wilkinson, Tilda Swinton, Sydney Pollack, Michael O'Keefe, Merritt Weaver, Ken Howard",thriller,Color,119.0,Denis O'Hare,49024969.0,Crime|Drama|Mystery|Thriller,Tom Wilkinson,Sydney Pollack,attorney|debt|fixer|law|law firm,English,USA,25000000.0,2.35
A Mighty Heart,2007,Michael Winterbottom,American,Angelina Jolie,drama,Color,108.0,Archie Panjabi,9172810.0,Biography|Drama|History|Thriller|War,Angelina Jolie Pitt,Dan Futterman,fbi|journalist|missing|pakistan|reporter,English,USA,16000000.0,2.35
The Mist,2007,Frank Darabont,American,"Thomas Jane, Marcia Gay Harden, Andre Braugher, Toby Jones",horror,Color,126.0,Alexa Davalos,25592632.0,Horror,Toby Jones,Jeffrey DeMunn,desperation|fog|giant insect|survival|survival horror,English,USA,18000000.0,1.85
No Reservations,2007,Scott Hicks,American,"Catherine Zeta-Jones, Aaron Eckhart, Abigail Breslin",romantic comedy,Color,104.0,Lily Rabe,43097652.0,Comedy|Drama|Romance,Zoë Kravitz,Bob Balaban,chef|cooking|guardian|kitchen|restaurant,English,USA,28000000.0,2.35
The Number 23,2007,Joel Schumacher,American,"Jim Carrey, Virginia Madsen",thriller,Color,98.0,Virginia Madsen,35063732.0,Mystery|Thriller,Logan Lerman,Ed Lauter,destiny|detective|imagination|murder|sex scene,English,USA,32000000.0,2.35
Pirates of the Caribbean: At World's End,2007,Gore Verbinski,American,"Johnny Depp, Orlando Bloom, Keira Knightley, Bill Nighy, Geoffrey Rush, Chow Yun-fat","adventure, swashbuckler",Color,169.0,Orlando Bloom,309404152.0,Action|Adventure|Fantasy,Johnny Depp,Jack Davenport,goddess|marriage ceremony|marriage proposal|pirate|singapore,English,USA,300000000.0,2.35
Premonition,2007,Mennan Yapo,American,"Sandra Bullock, Julian McMahon, Nia Long",thriller,Color,96.0,Amber Valletta,47852604.0,Drama|Mystery|Thriller,Nia Long,Marc Macaulay,car|car accident|housewife|sheriff|suburb,English,USA,20000000.0,2.35
The Reaping,2007,Stephen Hopkins,American,"Hilary Swank, AnnaSophia Robb, David Morrissey, Stephen Rea",horror,Color,99.0,Andrea Frankle,25117498.0,Horror|Thriller,Stephen Rea,William Ragsdale,biblical plague|louisiana|missionary|plague|small town,English,USA,40000000.0,2.35
Reign Over Me,2007,Mike Binder,American,"Adam Sandler, Don Cheadle, Liv Tyler",drama,Color,124.0,Don Cheadle,19661987.0,Drama,Adam Sandler,John de Lancie,college|depression|grief|mental breakdown|post september 11 2001,English,USA,20000000.0,2.35
Rendition,2007,Gavin Hood,American,"Jake Gyllenhaal, Reese Witherspoon, Peter Sarsgaard, Alan Arkin, Meryl Streep",drama,Color,122.0,Jake Gyllenhaal,9664316.0,Drama|Thriller,J.K. Simmons,Meryl Streep,american|bare chested male bondage|cia|detention|interrogation,English,USA,27500000.0,2.35
Reno 911!: Miami,2007,Robert Ben Garant,American,"Carlos Alazraqui, Mary Birdsong, Wendi McLendon-Covey",comedy,Color,84.0,Thomas Lennon,20339754.0,Comedy|Crime,Wendi McLendon-Covey,Carlos Alazraqui,beach|police|sex scene|spring break|vomiting,English,USA,10000000.0,1.85
Resident Evil: Extinction,2007,Russell Mulcahy,American,"Milla Jovovich, Ali Larter","action, horror",Color,94.0,Mike Epps,50648679.0,Action|Horror|Sci-Fi|Thriller,Milla Jovovich,James Tumminia,clone|convoy|crow|desert|satellite,English,France,45000000.0,2.35
Resurrecting the Champ,2007,Rod Lurie,American,"Samuel L. Jackson, Josh Hartnett",drama,Color,112.0,Kathryn Morris,3169424.0,Drama|Sport,Harry Lennix,Peter Coyote,boxing|colosseum|homeless man|reporter|writer,English,USA,13000000.0,2.35
Rush Hour 3,2007,Brett Ratner,American,"Jackie Chan, Chris Tucker",action,Color,91.0,Dana Ivey,140080850.0,Action|Comedy|Crime|Thriller,Tzi Ma,Noémie Lenoir,ambassador|assassination|chinese|french|triad,English,USA,140000000.0,2.35
Saw IV,2007,Darren Lynn Bousman,American,"Tobin Bell, Lyriq Bent, Costas Mandylor, Betsy Russell","horror, thriller",Color,96.0,Shawnee Smith,63270259.0,Horror|Mystery,Costas Mandylor,Angus Macfadyen,detective|fbi|rape|rapist|serial rapist,English,USA,10000000.0,1.85
Shooter,2007,Antoine Fuqua,American,"Mark Wahlberg, Danny Glover, Michael Peña, Ned Beatty",crime drama,Color,124.0,Ned Beatty,46975183.0,Action|Crime|Drama|Mystery|Thriller,Tate Donovan,Louis Ferreira,colonel|ethiopia|marksman|on the run|rangefinder,English,USA,61000000.0,2.35
The Simpsons Movie,2007,David Silverman,American,"Dan Castellaneta, Julie Kavner, Nancy Cartwright, Yeardley Smith",animation,Color,87.0,Yeardley Smith,183132370.0,Adventure|Animation|Comedy,Albert Brooks,Marcia Wallace,alaska|dome|lake|pig|the simpsons,English,USA,75000000.0,2.35
Spider-Man 3,2007,Sam Raimi,American,"Tobey Maguire, Kirsten Dunst, James Franco, Thomas Haden Church, Topher Grace",superhero,Color,156.0,James Franco,336530303.0,Action|Adventure|Romance,J.K. Simmons,Kirsten Dunst,sandman|spider man|symbiote|venom|villain,English,USA,258000000.0,2.35
Stardust,2007,Matthew Vaughn,American,"Claire Danes, Michelle Pfeiffer, Robert De Niro",fantasy,Color,127.0,David Kelly,38345403.0,Adventure|Family|Fantasy|Romance,Henry Cavill,Nathaniel Parker,king|magic|one word title|pirate|village,English,UK,70000000.0,2.35
